0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:52:35 +0530] "GET /project2frontend/resources/css/fileinput.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:52:35 +0530] "GET /project2frontend/js/fileinput.min.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:52:35 +0530] "GET /project2frontend/js/app.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:52:35 +0530] "GET /project2frontend/controllers/usercontroller.js HTTP/1.1" 200 1131
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:52:35 +0530] "GET /project2frontend/services/userservice.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:52:35 +0530] "GET /project2frontend/resources/css/login.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:52:35 +0530] "GET /project2frontend/resources/css/fileinput.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:52:35 +0530] "GET /project2frontend/resources/css/fileinput.min.css HTTP/1.1" 404 1090
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:52:35 +0530] "GET /project2frontend/js/fileinput.min.js HTTP/1.1" 404 1066
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:52:36 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:52:36 +0530] "GET /project2frontend/resources/images/niit.jpg HTTP/1.1" 404 1078
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:52:36 +0530] "GET /project2frontend/views/login.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:52:53 +0530] "POST /project2middleware/login HTTP/1.1" 404 98
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:54:15 +0530] "POST /project2middleware/login HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:54:20 +0530] "POST /project2middleware/login HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:54:36 +0530] "POST /project2middleware/login HTTP/1.1" 200 111
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:55:21 +0530] "GET /project2frontend/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:55:21 +0530] "GET /project2frontend/resources/css/login.css HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:55:21 +0530] "GET /project2frontend/resources/css/fileinput.css HTTP/1.1" 404 1082
0:0:0:0:0:0:0:1 - - [04/Jun/2018:14:55:21 +0530] "GET /project2frontend/resources/css/fileinput.min.css HTTP/1.1" 404 1090
